location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population,gdp_per_capita
Bhutan,31/07/2020,101,0,,,130.895,,,,55.982,1.304,0.004,,,,,771612,8708.597
Bhutan,01/08/2020,102,1,,,132.191,,,,57.716,1.734,0.003,,,,,771612,8708.597
Bhutan,02/08/2020,102,0,,,132.191,,,,64.062,6.346,0.001,,,,,771612,8708.597
Bhutan,03/08/2020,103,1,,,133.487,,,,66.278,2.216,0,,,,,771612,8708.597
Bhutan,04/08/2020,105,2,,,136.079,,,,68.024,1.746,0.001,,,,,771612,8708.597
Bhutan,05/08/2020,105,0,,,136.079,,,,70.34,2.316,0,,,,,771612,8708.597
Bhutan,06/08/2020,108,3,,,139.967,,,,70.747,0.407,0.001,,,,,771612,8708.597
Bhutan,07/08/2020,108,0,,,139.967,,,,71.445,0.699,0.001,,,,,771612,8708.597
Bhutan,08/08/2020,108,0,,,139.967,,,,71.738,0.293,0.001,,,,,771612,8708.597
Bhutan,09/08/2020,110,2,,,142.559,,,,72.193,0.455,0.001,,,,,771612,8708.597
Bhutan,10/08/2020,110,0,,,142.559,,,,72.772,0.579,0.001,,,,,771612,8708.597
Bhutan,11/08/2020,113,3,,,146.447,,,,73.589,0.816,0.002,,,,,771612,8708.597
Bhutan,12/08/2020,113,0,,,146.447,,,,73.967,0.378,0.003,,,,,771612,8708.597
Bhutan,13/08/2020,128,15,,,165.886,,,,73.983,0.016,0.008,,,,,771612,8708.597
Bhutan,14/08/2020,133,5,,,172.366,,,,75.863,1.88,0.007,,,,,771612,8708.597
Bhutan,15/08/2020,133,0,,,172.366,,,,77.027,1.164,0.006,,,,,771612,8708.597
Bhutan,16/08/2020,138,5,,,178.846,,,,77.034,0.006,0.007,,,,,771612,8708.597
Bhutan,17/08/2020,141,3,,,182.734,,,,80.5,3.467,0.005,,,,,771612,8708.597
Bhutan,18/08/2020,147,6,,,190.51,,,,80.507,0.006,0.006,,,,,771612,8708.597
Bhutan,19/08/2020,147,0,,,190.51,,,,81.792,1.286,0.006,,,,,771612,8708.597
Bhutan,20/08/2020,153,6,,,198.286,,,,86.617,4.825,0.003,,,,,771612,8708.597
Bhutan,21/08/2020,154,1,,,199.582,,,,91.678,5.061,0.002,,,,,771612,8708.597
Bhutan,22/08/2020,155,1,,,200.878,,,,98.539,6.861,0.001,,,,,771612,8708.597
Bhutan,23/08/2020,155,0,,,200.878,,,,102.808,4.269,0.001,,,,,771612,8708.597
Bhutan,24/08/2020,156,1,,,202.174,,,,107.111,4.303,0.001,,,,,771612,8708.597
Bhutan,25/08/2020,173,17,,,224.206,,,,112.568,5.457,0.001,,,,,771612,8708.597
Bhutan,26/08/2020,173,0,,,224.206,,,,117.363,4.795,0.001,,,,,771612,8708.597
Bhutan,27/08/2020,184,11,,,238.462,,,,122.922,5.558,0.001,,,,,771612,8708.597
Bhutan,28/08/2020,195,11,,,252.718,,,,125.86,2.938,0.002,,,,,771612,8708.597
Bhutan,29/08/2020,195,0,,,252.718,,,,126.232,0.372,0.002,,,,,771612,8708.597
Bhutan,30/08/2020,224,29,,,290.301,,,,126.95,0.718,0.004,,,,,771612,8708.597
Bhutan,31/08/2020,225,1,,,291.597,,,,128.567,1.617,0.004,,,,,771612,8708.597
Bhutan,01/09/2020,227,2,,,294.189,,,,129.704,1.137,0.004,,,,,771612,8708.597
Bhutan,02/09/2020,227,0,,,294.189,,,,133.68,3.976,0.004,,,,,771612,8708.597
Bhutan,03/09/2020,227,0,,,294.189,,,,134.994,1.314,0.005,,,,,771612,8708.597
Bhutan,04/09/2020,228,1,,,295.485,,,,136.755,1.761,0.004,,,,,771612,8708.597
Bhutan,05/09/2020,228,0,,,295.485,,,,138.43,1.674,0.004,,,,,771612,8708.597
Bhutan,06/09/2020,228,0,,,295.485,,,,140.454,2.024,0,,,,,771612,8708.597
Bhutan,07/09/2020,233,5,,,301.965,,,,141.486,1.032,0.001,,,,,771612,8708.597
Bhutan,08/09/2020,234,1,,,303.261,,,,142.375,0.889,0.001,,,,,771612,8708.597
Bhutan,09/09/2020,234,0,,,303.261,,,,142.988,0.613,0.001,,,,,771612,8708.597
Bhutan,10/09/2020,238,4,,,308.445,,,,143.921,0.933,0.002,,,,,771612,8708.597
Bhutan,11/09/2020,241,3,,,312.333,,,,145.153,1.232,0.002,,,,,771612,8708.597
Bhutan,12/09/2020,244,3,,,316.221,,,,146.899,1.746,0.002,,,,,771612,8708.597
Bhutan,13/09/2020,245,1,,,317.517,,,,148.071,1.172,0.003,,,,,771612,8708.597
Bhutan,14/09/2020,245,0,,,317.517,,,,152.271,4.2,0.001,,,,,771612,8708.597
Bhutan,15/09/2020,246,1,,,318.813,,,,153.607,1.336,0.001,,,,,771612,8708.597
Bhutan,16/09/2020,246,0,,,318.813,,,,154.966,1.359,0.001,,,,,771612,8708.597
Bhutan,17/09/2020,246,0,,,318.813,,,,155.342,0.376,0.001,,,,,771612,8708.597
Bhutan,18/09/2020,252,6,,,326.589,,,,158.818,3.476,0.001,,,,,771612,8708.597
Bhutan,19/09/2020,259,7,,,335.661,,,,160.285,1.467,0.001,,,,,771612,8708.597
Bhutan,20/09/2020,261,2,,,338.253,,,,161.79,1.505,0.002,,,,,771612,8708.597
Bhutan,21/09/2020,261,0,,,338.253,,,,162.732,0.942,0.002,,,,,771612,8708.597
Bhutan,22/09/2020,261,0,,,338.253,,,,165.286,2.554,0.002,,,,,771612,8708.597
Bhutan,23/09/2020,261,0,,,338.253,,,,167.36,2.074,0.002,,,,,771612,8708.597
Bhutan,24/09/2020,263,2,,,340.845,,,,168.348,0.988,0.002,,,,,771612,8708.597
Bhutan,25/09/2020,263,0,,,340.845,,,,170.289,1.941,0.001,,,,,771612,8708.597
Bhutan,26/09/2020,271,8,,,351.213,,,,171.518,1.229,0.001,,,,,771612,8708.597
Bhutan,27/09/2020,273,2,,,353.805,,,,173.169,1.651,0.001,,,,,771612,8708.597
Bhutan,28/09/2020,280,7,,,362.877,,,,173.74,0.572,0.002,,,,,771612,8708.597
Bhutan,29/09/2020,281,1,,,364.173,,,,175.037,1.297,0.003,,,,,771612,8708.597
Bhutan,30/09/2020,282,1,,,365.469,,,,176.203,1.165,0.003,,,,,771612,8708.597
Bhutan,01/10/2020,282,0,,,365.469,,,,177.482,1.279,0.003,,,,,771612,8708.597
Bhutan,02/10/2020,283,1,,,366.765,,,,178.708,1.226,0.003,,,,,771612,8708.597
Bhutan,03/10/2020,283,0,,,366.765,,,,180.958,2.25,0.002,,,,,771612,8708.597
Bhutan,04/10/2020,298,15,,,386.204,,,,183.016,2.058,0.003,,,,,771612,8708.597
Bhutan,05/10/2020,299,1,,,387.5,,,,184.691,1.676,0.002,,,,,771612,8708.597
Bhutan,06/10/2020,300,1,,,388.796,,,,187.268,2.576,0.002,,,,,771612,8708.597
Bhutan,07/10/2020,304,4,,,393.98,,,,188.22,0.953,0.002,,,,,771612,8708.597
Bhutan,08/10/2020,304,0,,,393.98,,,,189.715,1.494,0.002,,,,,771612,8708.597
Bhutan,09/10/2020,306,2,,,396.572,,,,191.612,1.897,0.002,,,,,771612,8708.597
Bhutan,10/10/2020,306,0,,,396.572,,,,193.487,1.875,0.002,,,,,771612,8708.597
Bhutan,11/10/2020,309,3,,,400.46,,,,195.299,1.812,0.001,,,,,771612,8708.597
Bhutan,12/10/2020,309,0,,,400.46,,,,195.973,0.674,0.001,,,,,771612,8708.597
Bhutan,13/10/2020,313,4,,,405.644,,,,197.573,1.601,0.002,,,,,771612,8708.597
Bhutan,14/10/2020,316,3,,,409.532,,,,199.363,1.79,0.001,,,,,771612,8708.597
Bhutan,15/10/2020,316,0,,,409.532,,,,200.702,1.339,0.001,,,,,771612,8708.597
Bhutan,16/10/2020,316,0,,,409.532,,,,202.492,1.79,0.001,,,,,771612,8708.597
Bhutan,17/10/2020,325,9,,,421.196,,,,204.425,1.934,0.002,,,,,771612,8708.597
Bhutan,18/10/2020,327,2,,,423.788,,,,205.984,1.559,0.002,,,,,771612,8708.597
Bhutan,19/10/2020,330,3,,,427.676,,,,206.47,0.486,0.003,,,,,771612,8708.597
Bhutan,20/10/2020,331,1,,,428.972,,,,207.473,1.003,0.002,,,,,771612,8708.597
Bhutan,21/10/2020,332,1,,,430.268,,,,209.169,1.695,0.002,,,,,771612,8708.597
Bhutan,22/10/2020,336,4,,,435.452,,,,210.491,1.322,0.003,,,,,771612,8708.597
Bhutan,23/10/2020,336,0,,,435.452,,,,211.888,1.397,0.003,,,,,771612,8708.597
Bhutan,24/10/2020,340,4,,,440.636,,,,213.603,1.716,0.002,,,,,771612,8708.597
Bhutan,25/10/2020,342,2,,,443.228,,,,214.56,0.956,0.002,,,,,771612,8708.597
Bhutan,26/10/2020,342,0,,,443.228,,,,215.247,0.687,0.002,,,,,771612,8708.597
Bhutan,27/10/2020,345,3,,,447.116,,,,216.486,1.239,0.002,,,,,771612,8708.597
Bhutan,28/10/2020,346,1,,,448.412,,,,218.015,1.529,0.002,,,,,771612,8708.597
Bhutan,29/10/2020,346,0,,,448.412,,,,219.643,1.628,0.001,,,,,771612,8708.597
Bhutan,30/10/2020,348,2,,,451.004,,,,221.053,1.41,0.002,,,,,771612,8708.597
Bhutan,31/10/2020,349,1,,,452.3,,,,221.055,0.003,0.002,,,,,771612,8708.597
Bhutan,01/11/2020,354,5,,,458.78,,,,225.223,4.168,0.001,,,,,771612,8708.597
Bhutan,02/11/2020,356,2,,,461.372,,,,225.641,0.417,0.002,,,,,771612,8708.597
Bhutan,03/11/2020,358,2,,,463.964,,,,227.257,1.616,0.002,,,,,771612,8708.597
Bhutan,04/11/2020,358,0,,,463.964,,,,228.935,1.678,0.001,,,,,771612,8708.597
Bhutan,05/11/2020,358,0,,,463.964,,,,230.51,1.575,0.001,,,,,771612,8708.597
Bhutan,06/11/2020,358,0,,,463.964,,,,231.592,1.082,0.001,,,,,771612,8708.597
Bhutan,07/11/2020,359,1,,,465.26,,,,234.495,2.903,0.001,,,,,771612,8708.597
Bhutan,08/11/2020,359,0,,,465.26,,,,235.149,0.654,0.001,,,,,771612,8708.597
Bhutan,09/11/2020,364,5,,,471.74,,,,,,0.001,,,,,771612,8708.597
Bhutan,10/11/2020,364,0,,,471.74,,,,237.634,,0.001,,,,,771612,8708.597
Bhutan,11/11/2020,364,0,,,471.74,,,,239.067,1.433,0.001,,,,,771612,8708.597
Bhutan,12/11/2020,369,5,,,478.22,,,,239.725,0.658,0.002,,,,,771612,8708.597
Bhutan,13/11/2020,369,0,,,478.22,,,,241.211,1.485,0.001,,,,,771612,8708.597
Bhutan,14/11/2020,375,6,,,485.996,,,,242.907,1.696,0.002,,,,,771612,8708.597
Bhutan,15/11/2020,375,0,,,485.996,,,,244.8,1.893,0.002,,,,,771612,8708.597
Bhutan,16/11/2020,377,2,,,488.588,,,,245.439,0.639,0.002,,,,,771612,8708.597
Bhutan,17/11/2020,378,1,,,489.884,,,,247.024,1.585,0.002,,,,,771612,8708.597
Bhutan,18/11/2020,378,0,,,489.884,,,,248.563,1.538,0.002,,,,,771612,8708.597
Bhutan,19/11/2020,378,0,,,489.884,,,,249.508,0.945,0.001,,,,,771612,8708.597
Bhutan,20/11/2020,378,0,,,489.884,,,,250.881,1.374,0.001,,,,,771612,8708.597
Bhutan,21/11/2020,379,1,,,491.18,,,,252.163,1.282,0.001,,,,,771612,8708.597
Bhutan,22/11/2020,382,3,,,495.067,,,,253.075,0.912,0.001,,,,,771612,8708.597
Bhutan,23/11/2020,386,4,,,500.251,,,,253.639,0.564,0.001,,,,,771612,8708.597
Bhutan,24/11/2020,386,0,,,500.251,,,,254.71,1.07,0.001,,,,,771612,8708.597
Bhutan,25/11/2020,386,0,,,500.251,,,,255.627,0.918,0.001,,,,,771612,8708.597
Bhutan,26/11/2020,389,3,,,504.139,,,,257.153,1.525,0.002,,,,,771612,8708.597
Bhutan,27/11/2020,395,6,,,511.915,,,,258.24,1.087,0.003,,,,,771612,8708.597
Bhutan,28/11/2020,396,1,,,513.211,,,,259.426,1.186,0.003,,,,,771612,8708.597
Bhutan,29/11/2020,396,0,,,513.211,,,,260.468,1.042,0.002,,,,,771612,8708.597
Bhutan,30/11/2020,410,14,,,531.355,,,,261.156,0.688,0.004,,,,,771612,8708.597
Bhutan,01/12/2020,414,4,,,536.539,,,,262.89,1.734,0.004,,,,,771612,8708.597
Bhutan,02/12/2020,415,1,,,537.835,,,,264.807,1.917,0.004,,,,,771612,8708.597
Bhutan,03/12/2020,418,3,,,541.723,,,,266.027,1.221,0.004,,,,,771612,8708.597
Bhutan,04/12/2020,424,6,,,549.499,,,,267.802,1.774,0.004,,,,,771612,8708.597
Bhutan,05/12/2020,426,2,,,552.091,,,,268.991,1.19,0.004,,,,,771612,8708.597
Bhutan,06/12/2020,430,4,,,557.275,,,,270.509,1.518,0.004,,,,,771612,8708.597
Bhutan,07/12/2020,432,2,,,559.867,,,,272.205,1.696,0.003,,,,,771612,8708.597
Bhutan,08/12/2020,433,1,,,561.163,,,,273.737,1.532,0.002,,,,,771612,8708.597
Bhutan,09/12/2020,433,0,,,561.163,,,,275.445,1.708,0.002,,,,,771612,8708.597
Bhutan,10/12/2020,434,1,,,562.459,,,,276.618,1.173,0.002,,,,,771612,8708.597
Bhutan,11/12/2020,436,2,,,565.051,,,,277.774,1.156,0.002,,,,,771612,8708.597
Bhutan,12/12/2020,437,1,,,566.347,,,,277.777,0.003,0.002,,,,,771612,8708.597
Bhutan,13/12/2020,438,1,,,567.643,,,,280.263,2.486,0.001,,,,,771612,8708.597
Bhutan,14/12/2020,438,0,,,567.643,,,,281.227,0.964,0.001,,,,,771612,8708.597
Bhutan,15/12/2020,439,1,,,568.939,,,,282.678,1.452,0.001,,,,,771612,8708.597
Bhutan,16/12/2020,440,1,,,570.235,,,,284.721,2.042,0.001,,,,,771612,8708.597
Bhutan,17/12/2020,440,0,,,570.235,,,,285.857,1.137,0.001,,,,,771612,8708.597
Bhutan,18/12/2020,443,3,,,574.123,,,,286.91,1.052,0.001,,,,,771612,8708.597
Bhutan,19/12/2020,443,0,,,574.123,,,,288.645,1.735,0.001,,,,,771612,8708.597
Bhutan,20/12/2020,446,3,,,578.011,,,,290.194,1.549,0.001,,,,,771612,8708.597
Bhutan,21/12/2020,479,33,,,620.778,,,,296.402,6.208,0.004,,,,,771612,8708.597
Bhutan,22/12/2020,479,0,,,620.778,,,,304.122,7.72,0.002,,,,,771612,8708.597
Bhutan,23/12/2020,519,40,,,672.618,,,,304.126,0.004,0.005,,,,,771612,8708.597
Bhutan,24/12/2020,519,0,,,672.618,,,,308.936,4.811,0.004,,,,,771612,8708.597
Bhutan,25/12/2020,576,57,,,746.489,,,,323.508,14.572,0.005,,,,,771612,8708.597
Bhutan,26/12/2020,597,21,,,773.705,,,,,,0.005,,,,,771612,8708.597
Bhutan,27/12/2020,623,26,,,807.401,,,,333.722,,0.005,,,,,771612,8708.597
Bhutan,28/12/2020,623,0,,,807.401,,,,340.555,6.832,0.004,,,,,771612,8708.597
Bhutan,29/12/2020,636,13,,,824.248,,,,350.363,9.808,0.004,,,,,771612,8708.597
Bhutan,30/12/2020,655,19,,,848.872,,,,355.567,5.205,0.003,,,,,771612,8708.597
Bhutan,31/12/2020,670,15,,,868.312,,,,365.079,9.511,0.003,,,,,771612,8708.597
Bhutan,01/01/2021,689,19,,,892.936,,,,372.159,7.08,0.003,,,,,771612,8708.597
Bhutan,02/01/2021,710,21,,,920.152,,,,377.781,5.622,0.003,,,,,771612,8708.597
Bhutan,03/01/2021,716,6,,,927.928,,,,384.384,6.603,0.002,,,,,771612,8708.597
Bhutan,04/01/2021,734,18,,,951.255,,,,390.191,5.807,0.003,,,,,771612,8708.597
Bhutan,05/01/2021,734,0,,,951.255,,,,395.683,5.492,0.003,,,,,771612,8708.597
Bhutan,06/01/2021,755,21,,,978.471,,,,401.811,6.127,0.003,,,,,771612,8708.597
Bhutan,07/01/2021,767,12,,,994.023,,,,409.478,7.667,0.003,,,,,771612,8708.597
Bhutan,08/01/2021,771,4,1,1,999.207,1.296,,,417.106,7.628,0.002,,,,,771612,8708.597
Bhutan,09/01/2021,810,39,1,0,1049.75,1.296,,,422.62,5.514,0.003,,,,,771612,8708.597
Bhutan,10/01/2021,813,3,1,0,1053.638,1.296,,,427.138,4.518,0.003,,,,,771612,8708.597
Bhutan,11/01/2021,825,12,1,0,1069.19,1.296,,,432.142,5.004,0.003,,,,,771612,8708.597
Bhutan,12/01/2021,831,6,1,0,1076.966,1.296,,,436.679,4.537,0.003,,,,,771612,8708.597
Bhutan,13/01/2021,833,2,1,0,1079.558,1.296,,,443.84,7.16,0.002,,,,,771612,8708.597
Bhutan,14/01/2021,834,1,1,0,1080.854,1.296,,,460.143,16.304,0.002,,,,,771612,8708.597
Bhutan,15/01/2021,837,3,1,0,1084.742,1.296,,,463.765,3.622,0.002,,,,,771612,8708.597
Bhutan,16/01/2021,842,5,1,0,1091.222,1.296,,,473.374,9.608,0.001,,,,,771612,8708.597
Bhutan,17/01/2021,842,0,1,0,1091.222,1.296,,,485.669,12.295,0.001,,,,,771612,8708.597
Bhutan,18/01/2021,843,1,1,0,1092.518,1.296,,,504.883,19.214,0,,,,,771612,8708.597
Bhutan,19/01/2021,848,5,1,0,1098.998,1.296,,,524.398,19.515,0,,,,,771612,8708.597
Bhutan,20/01/2021,850,2,1,0,1101.59,1.296,,,528.168,3.77,0,,,,,771612,8708.597
Bhutan,21/01/2021,850,0,1,0,1101.59,1.296,,,530.837,2.668,0,,,,,771612,8708.597
Bhutan,22/01/2021,851,1,1,0,1102.886,1.296,,,533.731,2.894,0,,,,,771612,8708.597
Bhutan,23/01/2021,854,3,1,0,1106.774,1.296,,,538.388,4.658,0,,,,,771612,8708.597
Bhutan,24/01/2021,855,1,1,0,1108.07,1.296,,,544.566,6.178,0,,,,,771612,8708.597
Bhutan,25/01/2021,856,1,1,0,1109.366,1.296,,,551.185,6.619,0,,,,,771612,8708.597
Bhutan,26/01/2021,856,0,1,0,1109.366,1.296,,,563.849,12.664,0,,,,,771612,8708.597
Bhutan,27/01/2021,856,0,1,0,1109.366,1.296,,,574.72,10.871,0,,,,,771612,8708.597
Bhutan,28/01/2021,857,1,1,0,1110.662,1.296,,,589.277,14.557,0,,,,,771612,8708.597
Bhutan,29/01/2021,858,1,1,0,1111.958,1.296,,,603.171,13.894,0,,,,,771612,8708.597
Bhutan,30/01/2021,858,0,1,0,1111.958,1.296,,,611.866,8.695,0,,,,,771612,8708.597
Bhutan,31/01/2021,859,1,1,0,1113.254,1.296,,,614.977,3.112,0,,,,,771612,8708.597
Bhutan,01/02/2021,859,0,1,0,1113.254,1.296,,,615.924,0.946,0,,,,,771612,8708.597
Bhutan,02/02/2021,859,0,1,0,1113.254,1.296,,,618.287,2.364,0,,,,,771612,8708.597
Bhutan,03/02/2021,859,0,1,0,1113.254,1.296,,,621.4,3.113,0,,,,,771612,8708.597
Bhutan,04/02/2021,859,0,1,0,1113.254,1.296,,,624.132,2.732,0,,,,,771612,8708.597
Bhutan,05/02/2021,861,2,1,0,1115.846,1.296,,,627.278,3.145,0,,,,,771612,8708.597
Bhutan,06/02/2021,861,0,1,0,1115.846,1.296,,,629.75,2.473,0,,,,,771612,8708.597
Bhutan,07/02/2021,861,0,1,0,1115.846,1.296,,,631.356,1.606,0,,,,,771612,8708.597
Bhutan,08/02/2021,861,0,1,0,1115.846,1.296,,,632.806,1.45,0,,,,,771612,8708.597
Bhutan,09/02/2021,861,0,1,0,1115.846,1.296,,,635.632,2.825,0,,,,,771612,8708.597
Bhutan,10/02/2021,861,0,1,0,1115.846,1.296,,,638.063,2.431,0,,,,,771612,8708.597
Bhutan,11/02/2021,861,0,1,0,1115.846,1.296,,,641.194,3.131,0,,,,,771612,8708.597
Bhutan,12/02/2021,863,2,1,0,1118.438,1.296,,,643.922,2.728,0,,,,,771612,8708.597
Bhutan,13/02/2021,863,0,1,0,1118.438,1.296,,,645.095,1.173,0,,,,,771612,8708.597
Bhutan,14/02/2021,864,1,1,0,1119.734,1.296,,,646.518,1.423,0,,,,,771612,8708.597
Bhutan,15/02/2021,866,2,1,0,1122.326,1.296,,,647.662,1.144,0,,,,,771612,8708.597
Bhutan,16/02/2021,866,0,1,0,1122.326,1.296,,,650.348,2.685,0,,,,,771612,8708.597
Bhutan,17/02/2021,866,0,1,0,1122.326,1.296,,,654.522,4.174,0,,,,,771612,8708.597
Bhutan,18/02/2021,866,0,1,0,1122.326,1.296,,,657.566,3.044,0,,,,,771612,8708.597
Bhutan,19/02/2021,866,0,1,0,1122.326,1.296,,,660.743,3.176,0,,,,,771612,8708.597
Bhutan,20/02/2021,866,0,1,0,1122.326,1.296,,,664.139,3.397,0,,,,,771612,8708.597
Bhutan,21/02/2021,866,0,1,0,1122.326,1.296,,,667.273,3.134,0,,,,,771612,8708.597
Bhutan,22/02/2021,866,0,1,0,1122.326,1.296,,,668.482,1.209,0,,,,,771612,8708.597
Bhutan,23/02/2021,867,1,1,0,1123.622,1.296,,,669.408,0.925,0,,,,,771612,8708.597
Bhutan,24/02/2021,867,0,1,0,1123.622,1.296,,,670.789,1.382,0,,,,,771612,8708.597
Bhutan,25/02/2021,867,0,1,0,1123.622,1.296,,,674.708,3.919,0,,,,,771612,8708.597
Bhutan,26/02/2021,867,0,1,0,1123.622,1.296,,,678.359,3.651,0,,,,,771612,8708.597
Bhutan,27/02/2021,867,0,1,0,1123.622,1.296,,,681.736,3.377,0,,,,,771612,8708.597
Bhutan,28/02/2021,867,0,1,0,1123.622,1.296,,,685.119,3.383,0,,,,,771612,8708.597
Bhutan,01/03/2021,867,0,1,0,1123.622,1.296,,,686.464,1.345,0,,,,,771612,8708.597
Bhutan,02/03/2021,867,0,1,0,1123.622,1.296,,,690.513,4.049,0,,,,,771612,8708.597
Bhutan,03/03/2021,867,0,1,0,1123.622,1.296,,,694.867,4.355,0,,,,,771612,8708.597
Bhutan,04/03/2021,867,0,1,0,1123.622,1.296,,,698.619,3.752,0,,,,,771612,8708.597
Bhutan,05/03/2021,867,0,1,0,1123.622,1.296,,,702.704,4.085,0,,,,,771612,8708.597
Bhutan,06/03/2021,868,1,1,0,1124.918,1.296,,,706.026,3.322,0,,,,,771612,8708.597
Bhutan,07/03/2021,868,0,1,0,1124.918,1.296,,,709.068,3.042,0,,,,,771612,8708.597
Bhutan,08/03/2021,868,0,1,0,1124.918,1.296,,,710.519,1.452,0,,,,,771612,8708.597
Bhutan,09/03/2021,868,0,1,0,1124.918,1.296,,,713.594,3.075,0,,,,,771612,8708.597
Bhutan,10/03/2021,868,0,1,0,1124.918,1.296,,,716.792,3.197,0,,,,,771612,8708.597
Bhutan,11/03/2021,868,0,1,0,1124.918,1.296,,,718.979,2.188,0,,,,,771612,8708.597
Bhutan,12/03/2021,868,0,1,0,1124.918,1.296,,,722.307,3.328,0,,,,,771612,8708.597
Bhutan,13/03/2021,868,0,1,0,1124.918,1.296,,,725.289,2.982,0,,,,,771612,8708.597
Bhutan,14/03/2021,868,0,1,0,1124.918,1.296,,,728.822,3.533,0,,,,,771612,8708.597
Bhutan,15/03/2021,868,0,1,0,1124.918,1.296,,,730.62,1.798,0,,,,,771612,8708.597
Bhutan,16/03/2021,868,0,1,0,1124.918,1.296,,,733.566,2.946,0,,,,,771612,8708.597
Bhutan,17/03/2021,868,0,1,0,1124.918,1.296,,,736.327,2.762,0,,,,,771612,8708.597
Bhutan,18/03/2021,868,0,1,0,1124.918,1.296,,,739.479,3.152,0,,,,,771612,8708.597
Bhutan,19/03/2021,868,0,1,0,1124.918,1.296,,,742.945,3.465,0,,,,,771612,8708.597
Bhutan,20/03/2021,869,1,1,0,1126.214,1.296,,,746.152,3.208,0,,,,,771612,8708.597
Bhutan,21/03/2021,869,0,1,0,1126.214,1.296,,,749.36,3.208,0,,,,,771612,8708.597
Bhutan,22/03/2021,869,0,1,0,1126.214,1.296,,,750.399,1.039,0,,,,,771612,8708.597
Bhutan,23/03/2021,869,0,1,0,1126.214,1.296,,,751.76,1.361,0,,,,,771612,8708.597
Bhutan,24/03/2021,870,1,1,0,1127.51,1.296,,,754.747,2.987,0,,,,,771612,8708.597
Bhutan,25/03/2021,870,0,1,0,1127.51,1.296,,,756.924,2.177,0,,,,,771612,8708.597
Bhutan,26/03/2021,870,0,1,0,1127.51,1.296,,,760.093,3.169,0,0,0,,,771612,8708.597
Bhutan,27/03/2021,871,1,1,0,1128.806,1.296,,,,,0,85949,85949,,85949,771612,8708.597
Bhutan,28/03/2021,872,1,1,0,1130.102,1.296,,,,,0,183271,183271,,97322,771612,8708.597
Bhutan,29/03/2021,872,0,1,0,1130.102,1.296,,,,,0,274703,274703,,91432,771612,8708.597
Bhutan,30/03/2021,872,0,1,0,1130.102,1.296,,,,,0,340917,340917,,66214,771612,8708.597
Bhutan,31/03/2021,873,1,1,0,1131.398,1.296,,,,,0,394765,394765,,53848,771612,8708.597
Bhutan,01/04/2021,886,13,1,0,1148.245,1.296,,,,,0,434837,434837,,40072,771612,8708.597
Bhutan,02/04/2021,889,3,1,0,1152.133,1.296,,,,,0.001,453595,453595,,18758,771612,8708.597
Bhutan,03/04/2021,891,2,1,0,1154.725,1.296,,,,,0.001,459752,459752,,6157,771612,8708.597
Bhutan,04/04/2021,891,0,1,0,1154.725,1.296,,,,,0.001,466811,466811,,7059,771612,8708.597
Bhutan,05/04/2021,891,0,1,0,1154.725,1.296,,,830.246,,0.001,468297,468297,,1486,771612,8708.597
Bhutan,06/04/2021,896,5,1,0,1161.205,1.296,,,831.922,1.676,0.001,469664,469664,,1367,771612,8708.597
Bhutan,07/04/2021,900,4,1,0,1166.389,1.296,,,834.842,2.92,0.001,470976,470976,,1312,771612,8708.597
Bhutan,08/04/2021,900,0,1,0,1166.389,1.296,,,836.978,2.136,0.001,472139,472139,,1163,771612,8708.597
Bhutan,09/04/2021,906,6,1,0,1174.165,1.296,,,838.84,1.862,0.001,473393,473393,,1254,771612,8708.597
Bhutan,10/04/2021,910,4,1,0,1179.349,1.296,,,842.469,3.629,0.001,474175,474175,,782,771612,8708.597
Bhutan,11/04/2021,918,8,1,0,1189.717,1.296,,,844.909,2.44,0.002,474303,474303,,128,771612,8708.597
Bhutan,12/04/2021,921,3,1,0,1193.605,1.296,,,845.92,1.011,0.002,475651,475651,,1348,771612,8708.597
Bhutan,13/04/2021,927,6,1,0,1201.381,1.296,,,848.508,2.588,0.002,476740,476740,,1089,771612,8708.597
Bhutan,14/04/2021,929,2,1,0,1203.973,1.296,,,851.292,2.784,0.002,477060,477060,,320,771612,8708.597
Bhutan,15/04/2021,934,5,1,0,1210.453,1.296,,,853.516,2.224,0.003,477631,477631,,571,771612,8708.597
Bhutan,16/04/2021,941,7,1,0,1219.525,1.296,,,855.536,2.02,0.003,478219,478219,,588,771612,8708.597
Bhutan,17/04/2021,952,11,1,0,1233.781,1.296,,,857.879,2.343,0.004,478495,478495,,276,771612,8708.597
Bhutan,18/04/2021,957,5,1,0,1240.261,1.296,,,861.46,3.581,0.003,478533,478533,,38,771612,8708.597
Bhutan,19/04/2021,961,4,1,0,1245.445,1.296,,,865.454,3.994,0.003,478879,478879,,346,771612,8708.597
Bhutan,20/04/2021,966,5,1,0,1251.925,1.296,,,873.6,8.145,0.002,479032,479032,,153,771612,8708.597
Bhutan,21/04/2021,986,20,1,0,1277.844,1.296,,,877.911,4.312,0.003,479333,479333,,301,771612,8708.597
Bhutan,22/04/2021,992,6,1,0,1285.62,1.296,,,883.264,5.352,0.003,479354,479354,,21,771612,8708.597
